Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
0.10000	0.0000	0.0000	infinite	2449.5	3576.5	-4.9606e+06	10.070	14.195	1260.4	undefined	8.3784	0.17337	vapor
0.10000	0.20000	0.17724	5.6420	2448.8	3577.2	49.327	10.072	14.201	1262.1	-0.24815	8.3799	0.17365	vapor
0.10000	0.40000	0.35405	2.8245	2448.1	3577.9	46.466	10.074	14.208	1263.9	-0.24932	8.3814	0.17394	vapor
0.10000	0.60000	0.53042	1.8853	2447.4	3578.6	44.791	10.076	14.215	1265.6	-0.25051	8.3830	0.17421	vapor
0.10000	0.80000	0.70635	1.4157	2446.7	3579.3	43.602	10.077	14.222	1267.4	-0.25172	8.3846	0.17448	vapor
0.10000	1.0000	0.88186	1.1340	2446.1	3580.0	42.679	10.079	14.228	1269.1	-0.25296	8.3864	0.17475	vapor
0.10000	1.2000	1.0569	0.94614	2445.4	3580.8	41.924	10.081	14.235	1270.9	-0.25421	8.3882	0.17500	vapor
0.10000	1.4000	1.2316	0.81197	2444.7	3581.5	41.286	10.083	14.242	1272.6	-0.25549	8.3900	0.17526	vapor
0.10000	1.4000	1.2316	0.81197	2444.7	3581.5	41.286	10.083	14.242	1272.6	-0.25549	8.3900	0.17526	supercritical
0.10000	1.4000	1.2316	0.81197	2444.7	3581.5	41.286	10.083	14.242	1272.6	-0.25549	8.3900	0.17526	supercritical
0.10000	1.6000	1.4058	0.71135	2444.0	3582.2	40.733	10.085	14.248	1274.4	-0.25679	8.3919	0.17550	supercritical
0.10000	1.8000	1.5795	0.63309	2443.4	3582.9	40.245	10.086	14.255	1276.1	-0.25810	8.3939	0.17575	supercritical
0.10000	2.0000	1.7529	0.57049	2442.7	3583.7	39.808	10.088	14.261	1277.9	-0.25943	8.3960	0.17598	supercritical
0.10000	2.2000	1.9258	0.51926	2442.0	3584.4	39.412	10.090	14.268	1279.7	-0.26077	8.3981	0.17621	supercritical
0.10000	2.4000	2.0983	0.47658	2441.4	3585.2	39.051	10.092	14.274	1281.4	-0.26213	8.4003	0.17644	supercritical
0.10000	2.6000	2.2704	0.44046	2440.7	3585.9	38.719	10.094	14.280	1283.2	-0.26350	8.4026	0.17667	supercritical
0.10000	2.8000	2.4420	0.40950	2440.1	3586.7	38.411	10.095	14.287	1285.0	-0.26489	8.4049	0.17688	supercritical
0.10000	3.0000	2.6132	0.38267	2439.4	3587.4	38.124	10.097	14.293	1286.7	-0.26628	8.4072	0.17710	supercritical
0.10000	3.2000	2.7840	0.35920	2438.8	3588.2	37.855	10.099	14.299	1288.5	-0.26769	8.4097	0.17731	supercritical
0.10000	3.4000	2.9543	0.33849	2438.1	3589.0	37.603	10.101	14.305	1290.3	-0.26910	8.4122	0.17752	supercritical
0.10000	3.6000	3.1243	0.32008	2437.5	3589.7	37.365	10.103	14.312	1292.0	-0.27053	8.4148	0.17772	supercritical
