Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
0.010000	0.10000	999.84	0.0010002	0.0018429	0.10186	6.7371e-06	4.2170	4.2194	1402.4	-0.24141	1791.1	0.55567	liquid
0.20998	0.10000	999.86	0.0010001	0.84559	0.94560	0.0030944	4.2165	4.2187	1403.4	-0.24122	1778.7	0.55619	liquid
0.40997	0.10000	999.87	0.0010001	1.6892	1.7892	0.0061794	4.2161	4.2181	1404.4	-0.24102	1766.5	0.55669	liquid
0.60995	0.10000	999.88	0.0010001	2.5327	2.6327	0.0092616	4.2156	4.2174	1405.4	-0.24083	1754.3	0.55720	liquid
0.80993	0.10000	999.89	0.0010001	3.3760	3.4760	0.012341	4.2152	4.2167	1406.4	-0.24063	1742.3	0.55771	liquid
1.0099	0.10000	999.90	0.0010001	4.2192	4.3192	0.015418	4.2147	4.2161	1407.4	-0.24044	1730.4	0.55821	liquid
1.2099	0.10000	999.91	0.0010001	5.0623	5.1623	0.018492	4.2143	4.2155	1408.4	-0.24025	1718.7	0.55871	liquid
1.4099	0.10000	999.92	0.0010001	5.9053	6.0053	0.021563	4.2138	4.2148	1409.4	-0.24006	1707.1	0.55921	liquid
1.6099	0.10000	999.93	0.0010001	6.7481	6.8481	0.024632	4.2134	4.2142	1410.3	-0.23987	1695.6	0.55970	liquid
1.8098	0.10000	999.94	0.0010001	7.5908	7.6908	0.027698	4.2129	4.2136	1411.3	-0.23968	1684.2	0.56019	liquid
2.0098	0.10000	999.94	0.0010001	8.4334	8.5334	0.030761	4.2124	4.2130	1412.3	-0.23949	1673.0	0.56069	liquid
2.2098	0.10000	999.95	0.0010001	9.2759	9.3759	0.033822	4.2119	4.2124	1413.2	-0.23930	1661.8	0.56117	liquid
2.4098	0.10000	999.95	0.0010000	10.118	10.218	0.036880	4.2115	4.2118	1414.2	-0.23912	1650.8	0.56166	liquid
2.6098	0.10000	999.96	0.0010000	10.960	11.060	0.039935	4.2110	4.2113	1415.1	-0.23893	1639.9	0.56215	liquid
2.8098	0.10000	999.96	0.0010000	11.803	11.903	0.042988	4.2105	4.2107	1416.1	-0.23874	1629.2	0.56263	liquid
3.0097	0.10000	999.97	0.0010000	12.645	12.745	0.046038	4.2100	4.2101	1417.0	-0.23856	1618.5	0.56311	liquid
3.2097	0.10000	999.97	0.0010000	13.487	13.587	0.049085	4.2095	4.2096	1418.0	-0.23837	1607.9	0.56359	liquid
3.4097	0.10000	999.97	0.0010000	14.328	14.428	0.052130	4.2090	4.2091	1418.9	-0.23819	1597.5	0.56407	liquid
3.6097	0.10000	999.97	0.0010000	15.170	15.270	0.055173	4.2085	4.2085	1419.8	-0.23801	1587.2	0.56454	liquid
3.8097	0.10000	999.97	0.0010000	16.012	16.112	0.058212	4.2080	4.2080	1420.8	-0.23783	1576.9	0.56502	liquid
4.0097	0.10000	999.97	0.0010000	16.853	16.953	0.061250	4.2075	4.2075	1421.7	-0.23765	1566.8	0.56549	liquid
4.2096	0.10000	999.97	0.0010000	17.694	17.794	0.064284	4.2070	4.2070	1422.6	-0.23746	1556.8	0.56596	liquid
4.4096	0.10000	999.97	0.0010000	18.536	18.636	0.067316	4.2064	4.2065	1423.5	-0.23728	1546.9	0.56642	liquid
4.6096	0.10000	999.97	0.0010000	19.377	19.477	0.070346	4.2059	4.2060	1424.4	-0.23711	1537.1	0.56689	liquid
4.8096	0.10000	999.97	0.0010000	20.218	20.318	0.073373	4.2054	4.2055	1425.3	-0.23693	1527.3	0.56735	liquid
5.0096	0.10000	999.97	0.0010000	21.059	21.159	0.076397	4.2049	4.2050	1426.2	-0.23675	1517.7	0.56781	liquid
5.2096	0.10000	999.96	0.0010000	21.900	22.000	0.079419	4.2043	4.2045	1427.1	-0.23657	1508.2	0.56827	liquid
5.4095	0.10000	999.96	0.0010000	22.741	22.841	0.082439	4.2038	4.2041	1428.0	-0.23639	1498.8	0.56873	liquid
5.6095	0.10000	999.95	0.0010000	23.581	23.681	0.085456	4.2033	4.2036	1428.9	-0.23622	1489.4	0.56919	liquid
5.8095	0.10000	999.95	0.0010001	24.422	24.522	0.088470	4.2027	4.2032	1429.8	-0.23604	1480.2	0.56964	liquid
6.0095	0.10000	999.94	0.0010001	25.262	25.362	0.091482	4.2022	4.2027	1430.6	-0.23587	1471.0	0.57010	liquid
6.2095	0.10000	999.94	0.0010001	26.103	26.203	0.094491	4.2016	4.2023	1431.5	-0.23569	1462.0	0.57055	liquid
6.4095	0.10000	999.93	0.0010001	26.943	27.043	0.097499	4.2011	4.2019	1432.4	-0.23552	1453.0	0.57100	liquid
6.6094	0.10000	999.92	0.0010001	27.783	27.883	0.10050	4.2005	4.2014	1433.2	-0.23535	1444.1	0.57144	liquid
6.8094	0.10000	999.91	0.0010001	28.624	28.724	0.10351	4.2000	4.2010	1434.1	-0.23518	1435.3	0.57189	liquid
7.0094	0.10000	999.90	0.0010001	29.464	29.564	0.10650	4.1994	4.2006	1435.0	-0.23500	1426.6	0.57233	liquid
7.2094	0.10000	999.89	0.0010001	30.304	30.404	0.10950	4.1988	4.2002	1435.8	-0.23483	1418.0	0.57278	liquid
7.4094	0.10000	999.88	0.0010001	31.144	31.244	0.11250	4.1983	4.1998	1436.7	-0.23466	1409.5	0.57322	liquid
7.6094	0.10000	999.87	0.0010001	31.984	32.084	0.11549	4.1977	4.1994	1437.5	-0.23449	1401.0	0.57366	liquid
7.8093	0.10000	999.86	0.0010001	32.823	32.923	0.11848	4.1971	4.1990	1438.3	-0.23432	1392.6	0.57409	liquid
8.0093	0.10000	999.85	0.0010002	33.663	33.763	0.12147	4.1965	4.1987	1439.2	-0.23415	1384.3	0.57453	liquid
8.2093	0.10000	999.84	0.0010002	34.503	34.603	0.12445	4.1959	4.1983	1440.0	-0.23399	1376.1	0.57496	liquid
8.4093	0.10000	999.82	0.0010002	35.342	35.442	0.12744	4.1954	4.1979	1440.8	-0.23382	1368.0	0.57539	liquid
8.6093	0.10000	999.81	0.0010002	36.182	36.282	0.13042	4.1948	4.1975	1441.7	-0.23365	1359.9	0.57583	liquid
8.8093	0.10000	999.80	0.0010002	37.021	37.121	0.13339	4.1942	4.1972	1442.5	-0.23348	1351.9	0.57625	liquid
9.0092	0.10000	999.78	0.0010002	37.860	37.960	0.13637	4.1936	4.1968	1443.3	-0.23332	1344.0	0.57668	liquid
9.2092	0.10000	999.77	0.0010002	38.700	38.800	0.13934	4.1930	4.1965	1444.1	-0.23315	1336.2	0.57711	liquid
9.4092	0.10000	999.75	0.0010002	39.539	39.639	0.14231	4.1924	4.1961	1444.9	-0.23299	1328.4	0.57753	liquid
9.6092	0.10000	999.74	0.0010003	40.378	40.478	0.14528	4.1918	4.1958	1445.7	-0.23282	1320.7	0.57795	liquid
9.8092	0.10000	999.72	0.0010003	41.217	41.317	0.14825	4.1912	4.1955	1446.5	-0.23266	1313.1	0.57838	liquid
10.009	0.10000	999.70	0.0010003	42.056	42.156	0.15121	4.1906	4.1951	1447.3	-0.23250	1305.6	0.57880	liquid
