Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
-40.000	0.10000	1.6536	0.60473	150.98	211.45	6.1853	0.65213	0.91435	290.93	4.2224	16.785	0.021064	vapor
-39.733	0.10000	1.6517	0.60542	151.15	211.69	6.1863	0.65214	0.91436	291.09	4.2139	16.801	0.021086	vapor
-39.467	0.10000	1.6498	0.60612	151.33	211.94	6.1874	0.65215	0.91437	291.26	4.2055	16.817	0.021108	vapor
-39.200	0.10000	1.6479	0.60681	151.50	212.18	6.1884	0.65216	0.91437	291.43	4.1970	16.833	0.021131	vapor
-38.933	0.10000	1.6461	0.60751	151.67	212.43	6.1894	0.65218	0.91438	291.59	4.1886	16.849	0.021153	vapor
-38.667	0.10000	1.6442	0.60821	151.85	212.67	6.1905	0.65219	0.91439	291.76	4.1802	16.866	0.021175	vapor
-38.400	0.10000	1.6423	0.60890	152.02	212.91	6.1915	0.65220	0.91439	291.93	4.1718	16.882	0.021198	vapor
-38.133	0.10000	1.6404	0.60960	152.20	213.16	6.1926	0.65222	0.91440	292.09	4.1634	16.898	0.021220	vapor
-37.867	0.10000	1.6386	0.61029	152.37	213.40	6.1936	0.65223	0.91441	292.26	4.1551	16.914	0.021242	vapor
-37.600	0.10000	1.6367	0.61099	152.55	213.65	6.1946	0.65224	0.91441	292.42	4.1468	16.930	0.021265	vapor
-37.333	0.10000	1.6348	0.61169	152.72	213.89	6.1957	0.65226	0.91442	292.59	4.1385	16.946	0.021287	vapor
-37.067	0.10000	1.6330	0.61238	152.89	214.13	6.1967	0.65227	0.91443	292.75	4.1303	16.962	0.021309	vapor
-36.800	0.10000	1.6311	0.61308	153.07	214.38	6.1977	0.65229	0.91444	292.92	4.1220	16.979	0.021331	vapor
-36.533	0.10000	1.6293	0.61377	153.24	214.62	6.1988	0.65230	0.91444	293.09	4.1138	16.995	0.021354	vapor
-36.267	0.10000	1.6274	0.61447	153.42	214.86	6.1998	0.65231	0.91445	293.25	4.1056	17.011	0.021376	vapor
-36.000	0.10000	1.6256	0.61517	153.59	215.11	6.2008	0.65233	0.91446	293.42	4.0975	17.027	0.021398	vapor
-35.733	0.10000	1.6237	0.61586	153.77	215.35	6.2019	0.65234	0.91447	293.58	4.0893	17.043	0.021420	vapor
